Account,Behavior,Video_Time,CreateDate
S10527120,playing,904,"2017-04-26 08:23:52"
S10527120,playing,904,"2017-04-26 08:23:52"
S10527120,buffering,918,"2017-04-26 08:23:52"
S10527120,paused,891,"2017-04-26 08:23:53"
S10527120,playing,891,"2017-04-26 08:23:53"
S10527120,buffering,891,"2017-04-26 08:23:53"
S10527120,playing,891,"2017-04-26 08:23:53"
S10527120,paused,884,"2017-04-26 08:23:53"
S10527120,playing,884,"2017-04-26 08:23:53"
S10527120,buffering,884,"2017-04-26 08:23:53"
S10527120,playing,884,"2017-04-26 08:23:53"
S10527120,buffering,904,"2017-04-26 08:23:53"
S10527120,paused,870,"2017-04-26 08:23:54"
S10527120,playing,870,"2017-04-26 08:23:54"
S10527120,buffering,870,"2017-04-26 08:23:54"
S10527120,playing,870,"2017-04-26 08:23:54"
S10527120,paused,843,"2017-04-26 08:23:54"
S10527120,playing,843,"2017-04-26 08:23:54"
S10527120,buffering,843,"2017-04-26 08:23:54"
S10527120,playing,843,"2017-04-26 08:23:54"
S10527120,paused,48,"2017-04-26 08:23:57"
S10527120,playing,48,"2017-04-26 08:23:57"
S10527120,buffering,48,"2017-04-26 08:23:57"
S10527120,playing,48,"2017-04-26 08:23:57"
S10527120,paused,56,"2017-04-26 08:23:58"
S10527105,paused,162,"2017-04-26 08:23:58"
S10527120,playing,56,"2017-04-26 08:23:58"
S10527120,paused,74,"2017-04-26 08:23:58"
S10527120,playing,74,"2017-04-26 08:23:58"
S10527120,buffering,74,"2017-04-26 08:23:58"
S10527120,playing,74,"2017-04-26 08:23:58"
S10527120,paused,90,"2017-04-26 08:23:58"
S10527120,playing,90,"2017-04-26 08:23:58"
S10527120,buffering,90,"2017-04-26 08:23:58"
S10527120,playing,90,"2017-04-26 08:23:59"
S10527120,paused,101,"2017-04-26 08:23:59"
S10527120,playing,105,"2017-04-26 08:23:59"
S10527120,buffering,105,"2017-04-26 08:23:59"
S10527120,playing,105,"2017-04-26 08:23:59"
S10527120,paused,121,"2017-04-26 08:24:05"
